Transaction,Item,date_time,period_day,weekday_weekend,profit
1,Bread,10/30/2016 9:58,morning,weekend,2.0
2,Scandinavian,10/30/2016 10:05,morning,weekend,2.5
2,Scandinavian,10/30/2016 10:05,morning,weekend,2.5
3,Hot chocolate,10/30/2016 10:07,morning,weekend,2.5
3,Jam,10/30/2016 10:07,morning,weekend,1.25
3,Cookies,10/30/2016 10:07,morning,weekend,1.5
4,Muffin,10/30/2016 10:08,morning,weekend,2.0
5,Coffee,10/30/2016 10:13,morning,weekend,2.0
5,Pastry,10/30/2016 10:13,morning,weekend,2.5
5,Bread,10/30/2016 10:13,morning,weekend,2.0
6,Medialuna,10/30/2016 10:16,morning,weekend,1.5
6,Pastry,10/30/2016 10:16,morning,weekend,2.5
6,Muffin,10/30/2016 10:16,morning,weekend,2.0
7,Medialuna,10/30/2016 10:19,morning,weekend,1.5
7,Pastry,10/30/2016 10:19,morning,weekend,2.5
7,Coffee,10/30/2016 10:19,morning,weekend,2.0
7,Tea,10/30/2016 10:19,morning,weekend,2.0
8,Pastry,10/30/2016 10:20,morning,weekend,2.5
8,Bread,10/30/2016 10:20,morning,weekend,2.0
9,Bread,10/30/2016 10:21,morning,weekend,2.0
9,Muffin,10/30/2016 10:21,morning,weekend,2.0
10,Scandinavian,10/30/2016 10:25,morning,weekend,2.5
10,Medialuna,10/30/2016 10:25,morning,weekend,1.5
11,Bread,10/30/2016 10:27,morning,weekend,2.0
11,Medialuna,10/30/2016 10:27,morning,weekend,1.5
11,Bread,10/30/2016 10:27,morning,weekend,2.0
12,Jam,10/30/2016 10:30,morning,weekend,1.25
12,Coffee,10/30/2016 10:30,morning,weekend,2.0
12,Tartine,10/30/2016 10:30,morning,weekend,3.0
12,Pastry,10/30/2016 10:30,morning,weekend,2.5
12,Tea,10/30/2016 10:30,morning,weekend,2.0
13,Bread,10/30/2016 10:31,morning,weekend,2.0
13,Coffee,10/30/2016 10:31,morning,weekend,2.0
14,Bread,10/30/2016 10:32,morning,weekend,2.0
14,Medialuna,10/30/2016 10:32,morning,weekend,1.5
14,Pastry,10/30/2016 10:32,morning,weekend,2.5
15,Mineral water,10/30/2016 10:34,morning,weekend,1.5
15,Scandinavian,10/30/2016 10:34,morning,weekend,2.5
16,Bread,10/30/2016 10:37,morning,weekend,2.0
16,Medialuna,10/30/2016 10:37,morning,weekend,1.5
16,Coffee,10/30/2016 10:37,morning,weekend,2.0
17,Hot chocolate,10/30/2016 10:38,morning,weekend,2.5
19,Bread,10/30/2016 10:43,morning,weekend,2.0
20,Bread,10/30/2016 10:45,morning,weekend,2.0
20,Medialuna,10/30/2016 10:45,morning,weekend,1.5
21,Coffee,10/30/2016 10:49,morning,weekend,2.0
21,Coffee,10/30/2016 10:49,morning,weekend,2.0
21,Medialuna,10/30/2016 10:49,morning,weekend,1.5
21,Bread,10/30/2016 10:49,morning,weekend,2.0
22,Jam,10/30/2016 10:52,morning,weekend,1.25
23,Scandinavian,10/30/2016 10:53,morning,weekend,2.5
23,Muffin,10/30/2016 10:53,morning,weekend,2.0
24,Bread,10/30/2016 10:54,morning,weekend,2.0
25,Scandinavian,10/30/2016 10:55,morning,weekend,2.5
26,Fudge,10/30/2016 10:56,morning,weekend,2.0
27,Scandinavian,10/30/2016 11:02,morning,weekend,2.5
28,Coffee,10/30/2016 11:03,morning,weekend,2.0
28,Bread,10/30/2016 11:03,morning,weekend,2.0
29,Bread,10/30/2016 11:05,morning,weekend,2.0
29,Jam,10/30/2016 11:05,morning,weekend,1.25
30,Bread,10/30/2016 11:07,morning,weekend,2.0
32,Scandinavian,10/30/2016 11:16,morning,weekend,2.5
32,Muffin,10/30/2016 11:16,morning,weekend,2.0
33,Coffee,10/30/2016 11:22,morning,weekend,2.0
34,Coffee,10/30/2016 11:25,morning,weekend,2.0
34,Muffin,10/30/2016 11:25,morning,weekend,2.0
35,Muffin,10/30/2016 11:27,morning,weekend,2.0
35,Scandinavian,10/30/2016 11:27,morning,weekend,2.5
36,Tea,10/30/2016 11:33,morning,weekend,2.0
36,Bread,10/30/2016 11:33,morning,weekend,2.0
37,Coffee,10/30/2016 11:37,morning,weekend,2.0
37,Bread,10/30/2016 11:37,morning,weekend,2.0
38,Bread,10/30/2016 11:42,morning,weekend,2.0
38,Tea,10/30/2016 11:42,morning,weekend,2.0
39,Scandinavian,10/30/2016 11:44,morning,weekend,2.5
40,Juice,10/30/2016 11:55,morning,weekend,2.0
40,Tartine,10/30/2016 11:55,morning,weekend,3.0
40,Coffee,10/30/2016 11:55,morning,weekend,2.0
40,Muffin,10/30/2016 11:55,morning,weekend,2.0
41,Scandinavian,10/30/2016 11:57,morning,weekend,2.5
42,Bread,10/30/2016 11:57,morning,weekend,2.0
42,Tea,10/30/2016 11:57,morning,weekend,2.0
43,Scandinavian,10/30/2016 12:00,afternoon,weekend,2.5
43,Fudge,10/30/2016 12:00,afternoon,weekend,2.0
44,Coffee,10/30/2016 12:05,afternoon,weekend,2.0
44,Medialuna,10/30/2016 12:05,afternoon,weekend,1.5
45,Coffee,10/30/2016 12:08,afternoon,weekend,2.0
45,Hot chocolate,10/30/2016 12:08,afternoon,weekend,2.5
45,Medialuna,10/30/2016 12:08,afternoon,weekend,1.5
46,Coffee,10/30/2016 12:09,afternoon,weekend,2.0
47,Juice,10/30/2016 12:15,afternoon,weekend,2.0
47,Bread,10/30/2016 12:15,afternoon,weekend,2.0
47,Muffin,10/30/2016 12:15,afternoon,weekend,2.0
47,Jam,10/30/2016 12:15,afternoon,weekend,1.25
48,Coffee,10/30/2016 12:17,afternoon,weekend,2.0
49,Coffee,10/30/2016 12:23,afternoon,weekend,2.0
49,Coffee,10/30/2016 12:23,afternoon,weekend,2.0
49,Medialuna,10/30/2016 12:23,afternoon,weekend,1.5
50,Bread,10/30/2016 12:25,afternoon,weekend,2.0
50,Victorian Sponge,10/30/2016 12:25,afternoon,weekend,3.0
51,Bread,10/30/2016 12:26,afternoon,weekend,2.0
52,Scandinavian,10/30/2016 12:28,afternoon,weekend,2.5
54,Bread,10/30/2016 12:33,afternoon,weekend,2.0
55,Frittata,10/30/2016 12:38,afternoon,weekend,3.0
55,Coffee,10/30/2016 12:38,afternoon,weekend,2.0
55,Tea,10/30/2016 12:38,afternoon,weekend,2.0
56,Coffee,10/30/2016 12:39,afternoon,weekend,2.0
56,Frittata,10/30/2016 12:39,afternoon,weekend,3.0
57,Scandinavian,10/30/2016 12:45,afternoon,weekend,2.5
58,Victorian Sponge,10/30/2016 12:59,afternoon,weekend,3.0
58,Hot chocolate,10/30/2016 12:59,afternoon,weekend,2.5
58,Tea,10/30/2016 12:59,afternoon,weekend,2.0
58,Soup,10/30/2016 12:59,afternoon,weekend,3.0
59,Tea,10/30/2016 13:02,afternoon,weekend,2.0
60,Cookies,10/30/2016 13:14,afternoon,weekend,1.5
60,Coffee,10/30/2016 13:14,afternoon,weekend,2.0
60,Juice,10/30/2016 13:14,afternoon,weekend,2.0
60,Coffee,10/30/2016 13:14,afternoon,weekend,2.0
61,Coffee,10/30/2016 13:15,afternoon,weekend,2.0
62,Coffee,10/30/2016 13:24,afternoon,weekend,2.0
62,Smoothies,10/30/2016 13:24,afternoon,weekend,2.5
62,Coffee,10/30/2016 13:24,afternoon,weekend,2.0
63,Coffee,10/30/2016 13:33,afternoon,weekend,2.0
64,Cake,10/30/2016 13:34,afternoon,weekend,3.0
65,Tartine,10/30/2016 13:37,afternoon,weekend,3.0
65,Mighty Protein,10/30/2016 13:37,afternoon,weekend,2.0
65,Tea,10/30/2016 13:37,afternoon,weekend,2.0
65,Coffee,10/30/2016 13:37,afternoon,weekend,2.0
66,Frittata,10/30/2016 13:40,afternoon,weekend,3.0
66,Mineral water,10/30/2016 13:40,afternoon,weekend,1.5
67,Mineral water,10/30/2016 13:46,afternoon,weekend,1.5
67,Muffin,10/30/2016 13:46,afternoon,weekend,2.0
68,Frittata,10/30/2016 13:49,afternoon,weekend,3.0
68,Coffee,10/30/2016 13:49,afternoon,weekend,2.0
68,Tea,10/30/2016 13:49,afternoon,weekend,2.0
68,Scandinavian,10/30/2016 13:49,afternoon,weekend,2.5
68,Chicken sand,10/30/2016 13:49,afternoon,weekend,3.5
69,Bread,10/30/2016 13:51,afternoon,weekend,2.0
69,Tea,10/30/2016 13:51,afternoon,weekend,2.0
69,Victorian Sponge,10/30/2016 13:51,afternoon,weekend,3.0
70,Fudge,10/30/2016 13:54,afternoon,weekend,2.0
71,Muffin,10/30/2016 13:56,afternoon,weekend,2.0
72,Coffee,10/30/2016 14:21,afternoon,weekend,2.0
72,Bread,10/30/2016 14:21,afternoon,weekend,2.0
73,Bread,10/30/2016 14:22,afternoon,weekend,2.0
74,Coffee,10/30/2016 14:24,afternoon,weekend,2.0
74,Bread,10/30/2016 14:24,afternoon,weekend,2.0
75,Jam,10/30/2016 14:32,afternoon,weekend,1.25
75,Frittata,10/30/2016 14:32,afternoon,weekend,3.0
76,Coffee,10/30/2016 14:32,afternoon,weekend,2.0
77,Scandinavian,10/30/2016 14:35,afternoon,weekend,2.5
78,Fudge,10/30/2016 14:42,afternoon,weekend,2.0
79,Fudge,10/30/2016 14:45,afternoon,weekend,2.0
79,Tea,10/30/2016 14:45,afternoon,weekend,2.0
79,Coffee,10/30/2016 14:45,afternoon,weekend,2.0
79,Muffin,10/30/2016 14:45,afternoon,weekend,2.0
80,Frittata,10/30/2016 14:48,afternoon,weekend,3.0
80,Bread,10/30/2016 14:48,afternoon,weekend,2.0
80,Coffee,10/30/2016 14:48,afternoon,weekend,2.0
81,Coffee,10/31/2016 8:28,morning,weekday,2.0
81,Cake,10/31/2016 8:28,morning,weekday,3.0
82,Tartine,10/31/2016 8:47,morning,weekday,3.0
82,Bread,10/31/2016 8:47,morning,weekday,2.0
83,Coffee,10/31/2016 8:57,morning,weekday,2.0
83,Bread,10/31/2016 8:57,morning,weekday,2.0
84,Bread,10/31/2016 9:04,morning,weekday,2.0
85,Coffee,10/31/2016 9:10,morning,weekday,2.0
85,Coffee,10/31/2016 9:10,morning,weekday,2.0
85,Pastry,10/31/2016 9:10,morning,weekday,2.5
85,Medialuna,10/31/2016 9:10,morning,weekday,1.5
86,Juice,10/31/2016 9:11,morning,weekday,2.0
87,Bread,10/31/2016 9:12,morning,weekday,2.0
88,Coffee,10/31/2016 9:16,morning,weekday,2.0
88,Coffee,10/31/2016 9:16,morning,weekday,2.0
88,Jam,10/31/2016 9:16,morning,weekday,1.25
89,Bread,10/31/2016 9:19,morning,weekday,2.0
90,Bread,10/31/2016 9:20,morning,weekday,2.0
90,Coffee,10/31/2016 9:20,morning,weekday,2.0
91,Tea,10/31/2016 9:22,morning,weekday,2.0
92,Coffee,10/31/2016 9:27,morning,weekday,2.0
93,Bread,10/31/2016 9:29,morning,weekday,2.0
93,Coke,10/31/2016 9:29,morning,weekday,1.0
94,Coffee,10/31/2016 9:39,morning,weekday,2.0
94,Coffee,10/31/2016 9:39,morning,weekday,2.0
95,Tea,10/31/2016 9:43,morning,weekday,2.0
95,Pastry,10/31/2016 9:43,morning,weekday,2.5
96,Pastry,10/31/2016 9:46,morning,weekday,2.5
96,Pastry,10/31/2016 9:46,morning,weekday,2.5
96,Coffee,10/31/2016 9:46,morning,weekday,2.0
96,Juice,10/31/2016 9:46,morning,weekday,2.0
97,Coffee,10/31/2016 9:51,morning,weekday,2.0
97,Pastry,10/31/2016 9:51,morning,weekday,2.5
97,Juice,10/31/2016 9:51,morning,weekday,2.0
99,Pastry,10/31/2016 9:56,morning,weekday,2.5
99,Pastry,10/31/2016 9:56,morning,weekday,2.5
99,Coffee,10/31/2016 9:56,morning,weekday,2.0
99,Bread,10/31/2016 9:56,morning,weekday,2.0
100,Bread,10/31/2016 9:58,morning,weekday,2.0
101,Coffee,10/31/2016 10:04,morning,weekday,2.0
101,Pastry,10/31/2016 10:04,morning,weekday,2.5
103,Bread,10/31/2016 10:07,morning,weekday,2.0
104,Coffee,10/31/2016 10:12,morning,weekday,2.0
104,Coffee,10/31/2016 10:12,morning,weekday,2.0
104,Medialuna,10/31/2016 10:12,morning,weekday,1.5
104,Muffin,10/31/2016 10:12,morning,weekday,2.0
104,Coffee,10/31/2016 10:12,morning,weekday,2.0
105,Coffee,10/31/2016 10:21,morning,weekday,2.0
105,Tea,10/31/2016 10:21,morning,weekday,2.0
105,Cake,10/31/2016 10:21,morning,weekday,3.0
106,Coffee,10/31/2016 10:24,morning,weekday,2.0
106,Coffee,10/31/2016 10:24,morning,weekday,2.0
106,Pastry,10/31/2016 10:24,morning,weekday,2.5
106,Pastry,10/31/2016 10:24,morning,weekday,2.5
107,Coffee,10/31/2016 10:27,morning,weekday,2.0
107,Tea,10/31/2016 10:27,morning,weekday,2.0
108,Muffin,10/31/2016 10:31,morning,weekday,2.0
109,Bread,10/31/2016 10:35,morning,weekday,2.0
109,Muffin,10/31/2016 10:35,morning,weekday,2.0
109,Pastry,10/31/2016 10:35,morning,weekday,2.5
110,Pastry,10/31/2016 10:36,morning,weekday,2.5
111,Coffee,10/31/2016 10:38,morning,weekday,2.0
112,Coffee,10/31/2016 10:59,morning,weekday,2.0
113,Coffee,10/31/2016 11:02,morning,weekday,2.0
113,Cake,10/31/2016 11:02,morning,weekday,3.0
115,Bread,10/31/2016 11:08,morning,weekday,2.0
116,Coffee,10/31/2016 11:11,morning,weekday,2.0
117,Cookies,10/31/2016 11:13,morning,weekday,1.5
117,Cake,10/31/2016 11:13,morning,weekday,3.0
117,Coffee,10/31/2016 11:13,morning,weekday,2.0
118,Cookies,10/31/2016 11:18,morning,weekday,1.5
118,Cookies,10/31/2016 11:18,morning,weekday,1.5
118,Tea,10/31/2016 11:18,morning,weekday,2.0
118,Pastry,10/31/2016 11:18,morning,weekday,2.5
119,Coffee,10/31/2016 11:25,morning,weekday,2.0
119,Coffee,10/31/2016 11:25,morning,weekday,2.0
119,Muffin,10/31/2016 11:25,morning,weekday,2.0
