Transaction,Item,date_time,period_day,weekday_weekend,profit,Profit
1,Bread,10/30/2016 9:58,morning,weekend,2.0,2.24
3,Hot chocolate,10/30/2016 10:07,morning,weekend,2.5,2.69
5,Coffee,10/30/2016 10:13,morning,weekend,2.0,2.81
5,Pastry,10/30/2016 10:13,morning,weekend,2.5,1.83
5,Bread,10/30/2016 10:13,morning,weekend,2.0,2.24
6,Medialuna,10/30/2016 10:16,morning,weekend,1.5,1.15
6,Pastry,10/30/2016 10:16,morning,weekend,2.5,1.83
7,Medialuna,10/30/2016 10:19,morning,weekend,1.5,1.15
7,Pastry,10/30/2016 10:19,morning,weekend,2.5,1.83
7,Coffee,10/30/2016 10:19,morning,weekend,2.0,2.81
7,Tea,10/30/2016 10:19,morning,weekend,2.0,2.83
8,Pastry,10/30/2016 10:20,morning,weekend,2.5,1.83
8,Bread,10/30/2016 10:20,morning,weekend,2.0,2.24
9,Bread,10/30/2016 10:21,morning,weekend,2.0,2.24
10,Medialuna,10/30/2016 10:25,morning,weekend,1.5,1.15
11,Bread,10/30/2016 10:27,morning,weekend,2.0,2.24
11,Medialuna,10/30/2016 10:27,morning,weekend,1.5,1.15
11,Bread,10/30/2016 10:27,morning,weekend,2.0,2.24
12,Coffee,10/30/2016 10:30,morning,weekend,2.0,2.81
12,Pastry,10/30/2016 10:30,morning,weekend,2.5,1.83
12,Tea,10/30/2016 10:30,morning,weekend,2.0,2.83
13,Bread,10/30/2016 10:31,morning,weekend,2.0,2.24
13,Coffee,10/30/2016 10:31,morning,weekend,2.0,2.81
14,Bread,10/30/2016 10:32,morning,weekend,2.0,2.24
14,Medialuna,10/30/2016 10:32,morning,weekend,1.5,1.15
14,Pastry,10/30/2016 10:32,morning,weekend,2.5,1.83
16,Bread,10/30/2016 10:37,morning,weekend,2.0,2.24
16,Medialuna,10/30/2016 10:37,morning,weekend,1.5,1.15
16,Coffee,10/30/2016 10:37,morning,weekend,2.0,2.81
17,Hot chocolate,10/30/2016 10:38,morning,weekend,2.5,2.69
19,Bread,10/30/2016 10:43,morning,weekend,2.0,2.24
20,Bread,10/30/2016 10:45,morning,weekend,2.0,2.24
20,Medialuna,10/30/2016 10:45,morning,weekend,1.5,1.15
21,Coffee,10/30/2016 10:49,morning,weekend,2.0,2.81
21,Coffee,10/30/2016 10:49,morning,weekend,2.0,2.81
21,Medialuna,10/30/2016 10:49,morning,weekend,1.5,1.15
21,Bread,10/30/2016 10:49,morning,weekend,2.0,2.24
24,Bread,10/30/2016 10:54,morning,weekend,2.0,2.24
26,Fudge,10/30/2016 10:56,morning,weekend,2.0,1.39
28,Coffee,10/30/2016 11:03,morning,weekend,2.0,2.81
28,Bread,10/30/2016 11:03,morning,weekend,2.0,2.24
29,Bread,10/30/2016 11:05,morning,weekend,2.0,2.24
30,Bread,10/30/2016 11:07,morning,weekend,2.0,2.24
33,Coffee,10/30/2016 11:22,morning,weekend,2.0,2.81
34,Coffee,10/30/2016 11:25,morning,weekend,2.0,2.81
36,Tea,10/30/2016 11:33,morning,weekend,2.0,2.83
36,Bread,10/30/2016 11:33,morning,weekend,2.0,2.24
37,Coffee,10/30/2016 11:37,morning,weekend,2.0,2.81
37,Bread,10/30/2016 11:37,morning,weekend,2.0,2.24
38,Bread,10/30/2016 11:42,morning,weekend,2.0,2.24
38,Tea,10/30/2016 11:42,morning,weekend,2.0,2.83
40,Juice,10/30/2016 11:55,morning,weekend,2.0,1.07
